Date Time,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-19 00:00:00,244.33958470767533,245.68780753699892,242.84154918255663,244.54930114746094,32204200.0,0.0,0.0
2025-02-20 00:00:00,244.61922281669615,246.4568094488268,243.9700649298591,245.508056640625,32316900.0,0.0,0.0
2025-02-21 00:00:00,245.6278941258364,248.36431123309396,244.89885442060717,245.22842407226562,53197400.0,0.0,0.0
2025-02-24 00:00:00,244.609226181644,248.53408727873096,244.09989957647335,246.77639770507812,51326400.0,0.0,0.0
2025-02-25 00:00:00,247.67521063757022,249.67259136851834,244.58926106556868,246.71646118164062,48013300.0,0.0,0.0
2025-02-26 00:00:00,244.01001367840516,244.65915630674968,238.8168269352331,240.0452117919922,44433600.0,0.0,0.0
2025-02-27 00:00:00,239.09646458024955,242.14247324939222,236.74953612071198,236.98922729492188,41153600.0,0.0,0.0
2025-02-28 00:00:00,236.63967447024518,241.77294223985544,229.89851463379637,241.5232696533203,56833400.0,0.0,0.0
2025-03-03 00:00:00,241.47333193183624,243.71040379171194,235.80077808405883,237.71826171875,47184000.0,0.0,0.0
2025-03-04 00:00:00,237.39870037793833,239.75561031847352,234.3726544629493,235.6210174560547,53798100.0,0.0,0.0
2025-03-05 00:00:00,235.11168617953675,236.2402111793479,228.92979032203158,235.4312744140625,47227600.0,0.0,0.0
2025-03-06 00:00:00,234.13297099659667,237.54849020730907,232.8546485518437,235.0218048095703,45170400.0,0.0,0.0
2025-03-07 00:00:00,234.80209169163373,241.05388787370777,234.45254396930395,238.7569122314453,46273600.0,0.0,0.0
2025-03-10 00:00:00,235.23152514577004,235.85072354308846,223.92635798057333,227.1820831298828,72071200.0,0.0,0.0
2025-03-11 00:00:00,223.51689291637274,225.54423318142804,217.16522145004404,220.55078125,76137400.0,0.0,0.0
2025-03-12 00:00:00,219.85169651198805,221.4595886104368,214.6285501658544,216.69583129882812,62547500.0,0.0,0.0
2025-03-13 00:00:00,215.6671885752157,216.55602242060417,208.14705109128238,209.4053955078125,61368300.0,0.0,0.0
2025-03-14 00:00:00,210.97334672214788,213.66980775083542,209.30553558500114,213.21041870117188,60107600.0,0.0,0.0
2025-03-17 00:00:00,213.0306430192638,214.93814530685134,209.69502079955336,213.71974182128906,48073400.0,0.0,0.0
2025-03-18 00:00:00,213.87952928252258,214.8682229774316,211.21302787332291,212.4114532470703,42432400.0,0.0,0.0
2025-03-19 00:00:00,213.93944620866878,218.47349365471302,213.470060528986,214.95811462402344,54385400.0,0.0,0.0
2025-03-20 00:00:00,213.70975404736055,217.20517028159983,211.94206785632258,213.81961059570312,48862900.0,0.0,0.0
2025-03-21 00:00:00,211.2829271905112,218.5533916912833,211.0032951126973,217.98414611816406,94127800.0,0.0,0.0
2025-03-24 00:00:00,220.71056863168138,221.1899357355996,218.29373979930335,220.44091796875,44299500.0,0.0,0.0
2025-03-25 00:00:00,220.48087718007702,223.80651793975238,219.79177838679217,223.45697021484375,34493600.0,0.0,0.0
2025-03-26 00:00:00,223.21727075576553,224.7253029108424,220.18125884970436,221.2398681640625,34466100.0,0.0,0.0
2025-03-27 00:00:00,221.1000540446544,224.69534536875565,220.271139232742,223.5568389892578,37094800.0,0.0,0.0
2025-03-28 00:00:00,221.3796909591809,223.51688772665744,217.39491092445158,217.6146240234375,39818600.0,0.0,0.0
2025-03-31 00:00:00,216.72579102857173,225.32451569687797,215.9468137615173,221.83909606933594,65299300.0,0.0,0.0
2025-04-01 00:00:00,219.5221267668628,223.3870536043053,218.61331487709137,222.897705078125,36412700.0,0.0,0.0
2025-04-02 00:00:00,221.03016017035932,224.89508702876748,220.73055001137135,223.59678649902344,35905900.0,0.0,0.0
2025-04-03 00:00:00,205.27081771109022,207.2182761783418,200.9864426085102,202.9239044189453,103419000.0,0.0,0.0
2025-04-04 00:00:00,193.6360793511012,199.61824028069563,187.09465424061224,188.13330078125,125910900.0,0.0,0.0
2025-04-07 00:00:00,176.967935484531,193.89573468350994,174.39131242893686,181.2223663330078,160466300.0,0.0,0.0
2025-04-08 00:00:00,186.4554964395268,190.09072892121037,168.9884109270566,172.19419860839844,120859500.0,0.0,0.0
2025-04-09 00:00:00,171.72480450043201,200.3472738997123,171.6648855169899,198.58958435058594,184395900.0,0.0,0.0
2025-04-10 00:00:00,188.82240088513313,194.52491452460524,182.76034285398336,190.17062377929688,121880000.0,0.0,0.0
2025-04-11 00:00:00,185.856281088865,199.27866665425725,185.81632494094944,197.89048767089844,87435900.0,0.0,0.0
2025-04-14 00:00:00,211.1630921847052,212.6611277249045,200.8965565016436,202.25477600097656,101352900.0,0.0,0.0
2025-04-15 00:00:00,201.59564256833872,203.24347561495443,199.53834280484799,201.87527465820312,51343900.0,0.0,0.0
2025-04-16 00:00:00,198.10021911176236,200.4371508814261,192.11805840887246,194.0155792236328,59732400.0,0.0,0.0
2025-04-17 00:00:00,196.94174374665747,198.56961397436802,194.16538565496842,196.72203063964844,51334300.0,0.0,0.0
2025-04-21 00:00:00,193.01688474432112,193.54618940120912,189.56140949031536,192.9070281982422,46742500.0,0.0,0.0
2025-04-22 00:00:00,195.8631544964882,201.32599215129426,195.71335703344474,199.47842407226562,52976400.0,0.0,0.0
2025-04-23 00:00:00,205.7302222309065,207.7276030292648,202.5344160012944,204.33206176757812,52929200.0,0.0,0.0
2025-04-24 00:00:00,204.62166872266098,208.5565112075726,202.67422555441442,208.09710693359375,47311000.0,0.0,0.0
2025-04-25 00:00:00,206.0997277622984,209.47530610539675,205.92995222724628,209.00592041015625,38222300.0,0.0,0.0
2025-04-28 00:00:00,209.72497582911666,211.2230113707532,207.1883090170199,209.8647918701172,38743100.0,0.0,0.0
2025-04-29 00:00:00,208.41669143858087,211.96204522644123,208.09710321217068,210.9333953857422,36827600.0,0.0,0.0
2025-04-30 00:00:00,209.02590396975114,213.30029766677714,206.399343338795,212.22171020507812,52286500.0,0.0,0.0
2025-05-01 00:00:00,208.80618155790114,214.2790004444518,208.62640936955898,213.04063415527344,57365700.0,0.0,0.0
2025-05-02 00:00:00,205.82009105417706,206.71892151455646,201.89524528415058,205.08106994628906,101010600.0,0.0,0.0
2025-05-05 00:00:00,202.83402512431957,203.83271551835597,197.9504297070337,198.62953186035156,69018500.0,0.0,0.0
2025-05-06 00:00:00,197.9504203457911,200.38721199140494,196.7619763948813,198.25001525878906,51216500.0,0.0,0.0
2025-05-07 00:00:00,198.90915494694545,199.1788056079939,192.99690991055434,195.99298095703125,68536700.0,0.0,0.0
2025-05-08 00:00:00,197.46106353953903,199.78801395815432,194.42503624466005,197.2313690185547,50478900.0,0.0,0.0
2025-05-09 00:00:00,198.739389980464,200.2773664943336,197.28129528859796,198.27000427246094,36453900.0,0.0,0.0
2025-05-12 00:00:00,210.97000122070312,211.27000427246094,206.75,210.7899932861328,63775800.0,0.26,0.0
2025-05-13 00:00:00,210.42999267578125,213.39999389648438,209.0,212.92999267578125,51909300.0,0.0,0.0
2025-05-14 00:00:00,212.42999267578125,213.94000244140625,210.5800018310547,212.3300018310547,49325800.0,0.0,0.0
2025-05-15 00:00:00,210.9499969482422,212.9600067138672,209.5399932861328,211.4499969482422,45029500.0,0.0,0.0
2025-05-16 00:00:00,212.36000061035156,212.57000732421875,209.77000427246094,211.25999450683594,54737900.0,0.0,0.0
2025-05-19 00:00:00,207.91000366210938,209.47999572753906,204.25999450683594,208.77999877929688,46140500.0,0.0,0.0
2025-05-20 00:00:00,207.6699981689453,208.47000122070312,205.02999877929688,206.86000061035156,42496600.0,0.0,0.0
2025-05-21 00:00:00,205.1699981689453,207.0399932861328,200.7100067138672,202.08999633789062,59211800.0,0.0,0.0
2025-05-22 00:00:00,200.7100067138672,202.75,199.6999969482422,201.36000061035156,46742400.0,0.0,0.0
2025-05-23 00:00:00,193.6699981689453,197.6999969482422,193.4600067138672,195.27000427246094,78432900.0,0.0,0.0
2025-05-27 00:00:00,198.3000030517578,200.74000549316406,197.42999267578125,200.2100067138672,56288500.0,0.0,0.0
2025-05-28 00:00:00,200.58999633789062,202.72999572753906,199.89999389648438,200.4199981689453,45339700.0,0.0,0.0
2025-05-29 00:00:00,203.5800018310547,203.80999755859375,198.50999450683594,199.9499969482422,51396800.0,0.0,0.0
2025-05-30 00:00:00,199.3699951171875,201.9600067138672,196.77999877929688,200.85000610351562,70753100.0,0.0,0.0
2025-06-02 00:00:00,200.14999389648438,202.1300048828125,200.1199951171875,201.6999969482422,35314257.0,0.0,0.0
